cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
163,Edwin Alfred Riofrio Núñez,1,,,,Edwin Alfred Riofrio Núñez,2025,2025
164,Paola Dayanara Ramírez Carrión,1,,,,Paola Dayanara Ramírez Carrión,2025,2025
165,Jorge Leopoldo Pauta Riera,1,,,,Jorge Leopoldo Pauta Riera,2025,2025
853,Felipe Alejandro Garcés Córdova,1,,,,Felipe Alejandro Garcés Córdova,2023,2023
854,Pamilys Milagros Moreno-Arvelo,1,0000-0001-8913-4352,,,Pamilys Milagros Moreno-Arvelo,2023,2023
855,Génesis Karolina Robles-Zambrano,1,0000-0002-2965-2091,,,Génesis Karolina Robles-Zambrano,2023,2023
856,Iván Fernando Andrade Arrieta,1,,,,Iván Fernando Andrade Arrieta,2023,2023
857,Paúl Alejandro Centeno Maldonado,1,,,,Paúl Alejandro Centeno Maldonado,2023,2023
858,Milton Guillermo Gordón Martínez,1,,,,Milton Guillermo Gordón Martínez,2023,2023
861,Gabriela Anahí Cruz Yasaca,1,,,,Gabriela Anahí Cruz Yasaca,2023,2023
862,Jeycov Eladio Castro Guevara,1,,,,Jeycov Eladio Castro Guevara,2023,2023
863,Jordie Andree Chariguamán Peñaloza,1,,,,Jordie Andree Chariguamán Peñaloza,2023,2023
864,Jorge Washington Soxo Andachi,1,0000-0002-2220-6945,,,Jorge Washington Soxo Andachi,2023,2023
865,Norma Ximena Peñaloza Pérez,1,,,,Norma Ximena Peñaloza Pérez,2023,2023
866,Katherine Cristina Miranda Coello,1,,,,Katherine Cristina Miranda Coello,2023,2023
835,Elizabeth Paulina Reinoso Toledo,1,0000-0002-1167-7805,,,Elizabeth Paulina Reinoso Toledo,2023,2023
840,Ronny Josué Imbaquingo Andrade,1,,,,Ronny Josué Imbaquingo Andrade,2023,2023
841,Karen Ponce,1,,,,Karen Ponce,2023,2023
844,Geoconda García Sánchez,1,,,,Geoconda García Sánchez,2023,2023
172,Taisha Romina Jisama Velásquez,1,,,,Taisha Romina Jisama Velásquez,2025,2025
173,Pamela Milena Castro Villareal,1,,,,Pamela Milena Castro Villareal,2025,2025
174,Ángela Patricia Arellano Guilcamaigua,1,,,,Ángela Patricia Arellano Guilcamaigua,2025,2025
175,Mayerly Salomé Pozo Mera3,1,,,,Mayerly Salomé Pozo Mera3,2025,2025
177,María José Enríquez Villarreal,1,,,,María José Enríquez Villarreal,2025,2025
147,Lucitania Ja neth Liberio Barco,1,,,,Lucitania Ja neth Liberio Barco,2025,2025
